Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
358,0.0035,0.0000,0.9707,0.9988,0.0000,0.9622,0.9807
359,0.0039,0.0000,0.9661,0.9911,0.0001,0.9639,0.9816
360,0.0040,0.0000,0.9701,0.9943,0.0001,0.9459,0.9722
361,0.0051,0.0004,0.9656,0.9903,0.0007,0.9510,0.9749
362,0.0039,0.0000,0.9661,0.9936,0.0001,0.9471,0.9729
363,0.0037,0.0000,0.9728,0.9960,0.0001,0.9594,0.9793
364,0.0041,0.0000,0.9648,0.9953,0.0001,0.9572,0.9782
365,0.0039,0.0000,0.9668,0.9983,0.0001,0.9653,0.9823
366,0.0042,0.0000,0.9682,0.9899,0.0001,0.9352,0.9665
367,0.0037,0.0000,0.9673,0.9910,0.0000,0.9512,0.9750
368,0.0035,0.0000,0.9701,0.9986,0.0000,0.9572,0.9781
369,0.0035,0.0000,0.9685,0.9993,0.0001,0.9603,0.9797
370,0.0045,0.0002,0.9673,0.9941,0.0005,0.9584,0.9788
371,0.0034,0.0000,0.9735,0.9989,0.0000,0.9663,0.9829
372,0.0037,0.0000,0.9682,0.9953,0.0000,0.9530,0.9759
373,0.0039,0.0000,0.9688,0.9922,0.0001,0.9613,0.9803
374,0.0040,0.0001,0.9695,0.9933,0.0002,0.9604,0.9798
375,0.0036,0.0000,0.9661,0.9968,0.0000,0.9474,0.9730
376,0.0033,0.0000,0.9688,0.9952,0.0000,0.9625,0.9809
377,0.0042,0.0000,0.9676,0.9925,0.0001,0.9520,0.9754
378,0.0035,0.0001,0.9648,0.9964,0.0001,0.9629,0.9811
379,0.0032,0.0000,0.9679,0.9956,0.0000,0.9525,0.9757
380,0.0041,0.0001,0.9729,0.9951,0.0002,0.9579,0.9785
381,0.0036,0.0000,0.9748,0.9964,0.0000,0.9628,0.9810
382,0.0054,0.0007,0.9655,0.9896,0.0013,0.9593,0.9792
383,0.0036,0.0000,0.9674,0.9986,0.0000,0.9507,0.9747
384,0.0037,0.0000,0.9685,0.9954,0.0000,0.9599,0.9795
385,0.0037,0.0001,0.9670,0.9956,0.0003,0.9493,0.9740
386,0.0036,0.0000,0.9685,0.9989,0.0000,0.9501,0.9744
387,0.0039,0.0001,0.9702,0.9928,0.0001,0.9688,0.9842
388,0.0036,0.0000,0.9665,0.9959,0.0000,0.9504,0.9746
389,0.0036,0.0001,0.9691,0.9967,0.0001,0.9530,0.9759
390,0.0041,0.0000,0.9681,0.9893,0.0001,0.9453,0.9719
391,0.0035,0.0000,0.9688,0.9984,0.0000,0.9643,0.9818
392,0.0067,0.0011,0.9682,0.9879,0.0023,0.9606,0.9799
393,0.0037,0.0000,0.9675,0.9983,0.0000,0.9566,0.9778
394,0.0036,0.0000,0.9676,0.9903,0.0001,0.9549,0.9769
395,0.0041,0.0002,0.9682,0.9952,0.0004,0.9616,0.9804
396,0.0034,0.0000,0.9679,0.9910,0.0001,0.9620,0.9807
397,0.0045,0.0003,0.9683,0.9918,0.0006,0.9495,0.9741
398,0.0035,0.0000,0.9692,0.9938,0.0000,0.9535,0.9762
399,0.0041,0.0001,0.9645,0.9936,0.0002,0.9488,0.9737
400,0.0041,0.0000,0.9698,0.9916,0.0001,0.9558,0.9774
401,0.0038,0.0000,0.9693,0.9947,0.0001,0.9573,0.9782
402,0.0035,0.0000,0.9665,0.9965,0.0000,0.9575,0.9783
403,0.0057,0.0007,0.9666,0.9890,0.0014,0.9545,0.9767
404,0.0048,0.0003,0.9712,0.9937,0.0007,0.9581,0.9786
405,0.0038,0.0002,0.9692,0.9956,0.0004,0.9566,0.9778
406,0.0052,0.0004,0.9643,0.9858,0.0008,0.9607,0.9800
407,0.0038,0.0000,0.9666,0.9961,0.0000,0.9534,0.9761
408,0.0038,0.0000,0.9693,0.9952,0.0001,0.9587,0.9789
409,0.0037,0.0000,0.9668,0.9971,0.0000,0.9500,0.9743
410,0.0037,0.0000,0.9677,0.9968,0.0001,0.9615,0.9804
411,0.0032,0.0000,0.9654,0.9968,0.0000,0.9546,0.9768
412,0.0033,0.0000,0.9720,0.9981,0.0000,0.9615,0.9804
413,0.0033,0.0000,0.9682,0.9974,0.0000,0.9687,0.9841
414,0.0037,0.0001,0.9686,0.9970,0.0001,0.9633,0.9813
