Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
325,0.0182,0.0030,0.8910,0.8401,0.0061,0.9074,0.9514
326,0.0279,0.0067,0.8734,0.8064,0.0134,0.8947,0.9444
327,0.0260,0.0050,0.8723,0.7964,0.0100,0.8941,0.9441
328,0.0211,0.0034,0.8797,0.8125,0.0069,0.8922,0.9430
329,0.0266,0.0058,0.8630,0.7902,0.0117,0.9116,0.9537
330,0.0304,0.0066,0.8865,0.7752,0.0132,0.8561,0.9225
331,0.0218,0.0050,0.8931,0.8700,0.0100,0.8978,0.9462
332,0.0223,0.0045,0.8803,0.8352,0.0089,0.8990,0.9468
333,0.0236,0.0034,0.8555,0.7623,0.0067,0.8679,0.9293
334,0.0247,0.0046,0.8768,0.8184,0.0092,0.9068,0.9511
335,0.0317,0.0077,0.8664,0.7814,0.0154,0.8909,0.9423
336,0.0261,0.0045,0.8600,0.7817,0.0090,0.8902,0.9419
337,0.0297,0.0051,0.8735,0.7439,0.0101,0.8679,0.9293
338,0.0294,0.0049,0.8593,0.7222,0.0098,0.8701,0.9306
339,0.0266,0.0044,0.8605,0.7577,0.0087,0.9003,0.9475
340,0.0256,0.0056,0.8726,0.8197,0.0111,0.8924,0.9431
341,0.0252,0.0044,0.8743,0.7793,0.0087,0.8742,0.9329
342,0.0229,0.0049,0.8866,0.8257,0.0098,0.8984,0.9465
343,0.0239,0.0050,0.8883,0.8185,0.0101,0.8808,0.9366
344,0.0048,0.0004,0.9164,0.9669,0.0009,0.9197,0.9582
345,0.0281,0.0052,0.8689,0.7562,0.0105,0.8415,0.9139
346,0.0209,0.0029,0.8578,0.7858,0.0058,0.9018,0.9484
347,0.0263,0.0051,0.8696,0.7882,0.0103,0.9044,0.9498
348,0.0260,0.0045,0.8492,0.7670,0.0091,0.8904,0.9420
349,0.0181,0.0037,0.8999,0.8711,0.0074,0.8896,0.9416
350,0.0271,0.0049,0.8605,0.7745,0.0098,0.8816,0.9371
351,0.0234,0.0047,0.8768,0.8126,0.0093,0.8938,0.9439
352,0.0311,0.0058,0.8682,0.7335,0.0116,0.8767,0.9343
353,0.0252,0.0053,0.8688,0.8212,0.0107,0.9029,0.9490
354,0.0273,0.0041,0.8478,0.7327,0.0083,0.8794,0.9358
355,0.0257,0.0037,0.8587,0.7533,0.0073,0.8755,0.9336
356,0.0300,0.0059,0.8639,0.7627,0.0118,0.8887,0.9411
357,0.0273,0.0044,0.8524,0.7604,0.0088,0.9022,0.9486
358,0.0263,0.0041,0.8521,0.7457,0.0082,0.8705,0.9308
359,0.0178,0.0018,0.8660,0.8202,0.0036,0.9262,0.9617
