Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
246,0.0060,0.0001,0.6168,0.8805,0.0002,0.9137,0.9549
247,0.0060,0.0001,0.5951,0.8637,0.0001,0.9163,0.9563
248,0.0066,0.0001,0.5901,0.8474,0.0002,0.9182,0.9573
249,0.0059,0.0001,0.6222,0.8917,0.0002,0.9177,0.9571
250,0.0059,0.0001,0.6230,0.8932,0.0002,0.9167,0.9565
251,0.0064,0.0001,0.6006,0.8626,0.0002,0.9103,0.9530
252,0.0058,0.0001,0.6128,0.8852,0.0001,0.9202,0.9585
253,0.0061,0.0001,0.5997,0.8648,0.0002,0.9264,0.9618
254,0.0065,0.0001,0.5895,0.8470,0.0002,0.9255,0.9613
255,0.0068,0.0001,0.5878,0.8418,0.0002,0.9258,0.9615
256,0.0056,0.0001,0.6041,0.8879,0.0001,0.9275,0.9624
257,0.0066,0.0001,0.5768,0.8339,0.0002,0.9087,0.9522
258,0.0063,0.0001,0.6042,0.8670,0.0002,0.9354,0.9666
259,0.0060,0.0001,0.5972,0.8744,0.0001,0.9308,0.9641
260,0.0053,0.0001,0.6193,0.9049,0.0001,0.9167,0.9565
261,0.0057,0.0001,0.6051,0.8855,0.0001,0.9163,0.9563
262,0.0066,0.0002,0.6260,0.8823,0.0004,0.9146,0.9554
263,0.0063,0.0001,0.6023,0.8584,0.0002,0.9161,0.9562
264,0.0060,0.0001,0.5972,0.8675,0.0001,0.9219,0.9594
265,0.0072,0.0003,0.6146,0.8607,0.0005,0.9179,0.9572
266,0.0056,0.0001,0.6211,0.8945,0.0001,0.9349,0.9664
267,0.0060,0.0002,0.6080,0.8951,0.0004,0.9102,0.9530
268,0.0068,0.0001,0.6026,0.8561,0.0003,0.9188,0.9577
269,0.0058,0.0001,0.5924,0.8790,0.0001,0.9298,0.9636
270,0.0063,0.0001,0.5956,0.8536,0.0002,0.9174,0.9569
271,0.0060,0.0001,0.6095,0.8850,0.0002,0.9189,0.9578
272,0.0061,0.0001,0.6029,0.8662,0.0001,0.9263,0.9617
273,0.0071,0.0001,0.5948,0.8252,0.0003,0.9181,0.9573
274,0.0061,0.0001,0.6014,0.8670,0.0001,0.9169,0.9567
275,0.0064,0.0001,0.6070,0.8583,0.0002,0.9020,0.9485
276,0.0062,0.0001,0.5968,0.8669,0.0002,0.9266,0.9619
277,0.0054,0.0001,0.6104,0.9012,0.0001,0.9230,0.9600
278,0.0059,0.0001,0.6023,0.8783,0.0001,0.9232,0.9601
279,0.0052,0.0001,0.6178,0.9139,0.0001,0.9360,0.9669
280,0.0058,0.0001,0.6203,0.8887,0.0001,0.9324,0.9650
281,0.0060,0.0001,0.6056,0.8743,0.0001,0.9351,0.9664
282,0.0054,0.0001,0.6179,0.9037,0.0001,0.9088,0.9522
283,0.0055,0.0001,0.6095,0.9016,0.0001,0.9439,0.9711
284,0.0088,0.0012,0.6976,0.9436,0.0023,0.9076,0.9516
285,0.0061,0.0001,0.5965,0.8659,0.0002,0.9163,0.9563
286,0.0048,0.0001,0.6413,0.9409,0.0002,0.9224,0.9596
287,0.0062,0.0001,0.5951,0.8672,0.0002,0.9167,0.9565
288,0.0059,0.0001,0.6185,0.8840,0.0002,0.9295,0.9634
289,0.0065,0.0001,0.5945,0.8635,0.0002,0.9281,0.9627
