Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
318,0.0044,0.0000,0.9716,0.9763,0.0001,0.9513,0.9750
319,0.0047,0.0000,0.9628,0.9576,0.0001,0.9454,0.9719
320,0.0043,0.0000,0.9671,0.9634,0.0001,0.9482,0.9734
321,0.0039,0.0000,0.9723,0.9805,0.0000,0.9464,0.9725
322,0.0045,0.0001,0.9653,0.9624,0.0001,0.9605,0.9799
323,0.0035,0.0000,0.9730,0.9832,0.0000,0.9613,0.9803
324,0.0039,0.0000,0.9659,0.9822,0.0001,0.9434,0.9709
325,0.0044,0.0001,0.9660,0.9763,0.0001,0.9498,0.9742
326,0.0041,0.0000,0.9603,0.9633,0.0001,0.9480,0.9733
327,0.0040,0.0000,0.9665,0.9799,0.0000,0.9489,0.9738
328,0.0042,0.0000,0.9704,0.9776,0.0001,0.9443,0.9713
329,0.0039,0.0000,0.9651,0.9725,0.0001,0.9602,0.9797
330,0.0040,0.0000,0.9709,0.9860,0.0000,0.9424,0.9704
331,0.0037,0.0000,0.9664,0.9786,0.0000,0.9375,0.9678
332,0.0040,0.0000,0.9584,0.9769,0.0001,0.9409,0.9696
333,0.0042,0.0001,0.9693,0.9784,0.0001,0.9571,0.9781
334,0.0038,0.0000,0.9656,0.9762,0.0000,0.9500,0.9743
335,0.0047,0.0001,0.9554,0.9633,0.0001,0.9431,0.9707
336,0.0042,0.0000,0.9634,0.9675,0.0001,0.9497,0.9742
337,0.0044,0.0000,0.9719,0.9719,0.0001,0.9523,0.9756
338,0.0045,0.0000,0.9671,0.9720,0.0001,0.9553,0.9771
339,0.0035,0.0000,0.9746,0.9823,0.0000,0.9687,0.9841
340,0.0038,0.0000,0.9626,0.9759,0.0000,0.9441,0.9712
341,0.0044,0.0000,0.9681,0.9736,0.0001,0.9427,0.9705
342,0.0038,0.0000,0.9652,0.9779,0.0000,0.9484,0.9735
343,0.0032,0.0000,0.9747,0.9967,0.0000,0.9526,0.9757
344,0.0036,0.0000,0.9533,0.9789,0.0001,0.9147,0.9554
345,0.0046,0.0001,0.9566,0.9487,0.0001,0.9449,0.9716
346,0.0042,0.0000,0.9611,0.9645,0.0001,0.9524,0.9756
347,0.0046,0.0001,0.9634,0.9578,0.0001,0.9545,0.9767
348,0.0052,0.0001,0.9560,0.9532,0.0003,0.9538,0.9763
349,0.0030,0.0000,0.9696,0.9935,0.0000,0.9506,0.9747
350,0.0041,0.0000,0.9710,0.9700,0.0000,0.9533,0.9761
351,0.0041,0.0000,0.9641,0.9771,0.0001,0.9491,0.9739
352,0.0037,0.0000,0.9762,0.9899,0.0000,0.9578,0.9784
353,0.0040,0.0000,0.9707,0.9657,0.0000,0.9536,0.9763
354,0.0040,0.0000,0.9720,0.9788,0.0000,0.9575,0.9783
355,0.0039,0.0000,0.9745,0.9722,0.0001,0.9575,0.9783
356,0.0040,0.0000,0.9643,0.9715,0.0000,0.9504,0.9746
357,0.0040,0.0000,0.9759,0.9753,0.0000,0.9607,0.9800
358,0.0038,0.0000,0.9724,0.9844,0.0000,0.9583,0.9787
359,0.0044,0.0001,0.9577,0.9522,0.0001,0.9579,0.9785
360,0.0036,0.0000,0.9672,0.9782,0.0000,0.9525,0.9757
361,0.0046,0.0000,0.9567,0.9461,0.0001,0.9432,0.9708
362,0.0042,0.0000,0.9596,0.9580,0.0001,0.9393,0.9687
363,0.0041,0.0000,0.9720,0.9745,0.0001,0.9519,0.9753
364,0.0046,0.0000,0.9627,0.9551,0.0001,0.9528,0.9758
365,0.0041,0.0000,0.9662,0.9689,0.0001,0.9636,0.9814
366,0.0043,0.0000,0.9616,0.9687,0.0001,0.9338,0.9658
367,0.0041,0.0000,0.9722,0.9843,0.0000,0.9426,0.9704
368,0.0035,0.0000,0.9696,0.9768,0.0000,0.9583,0.9787
369,0.0035,0.0000,0.9674,0.9800,0.0000,0.9598,0.9795
370,0.0047,0.0001,0.9682,0.9695,0.0001,0.9520,0.9754
371,0.0041,0.0000,0.9723,0.9732,0.0001,0.9576,0.9783
372,0.0038,0.0000,0.9626,0.9720,0.0001,0.9489,0.9738
373,0.0042,0.0000,0.9695,0.9755,0.0001,0.9553,0.9771
374,0.0040,0.0000,0.9602,0.9566,0.0001,0.9591,0.9791
